personid,gender,birthmonth,birthyear,highestgradecompleted,maritalstatus,childathome,childnotathome,wageincome,weeklyhrscomputer,weeklyhrstv,nightlyhrssleep,satverbal,satmath,gpaoverall,gpaenglish,gpamath,gpascience,highestdegree,govprovidejobs,govpricecontrols,weeksworked17
100061,Female,5,1980,13,Married,4,0,12500,10 hours or more a week,11 to 20 hours a week,6,,,306,350,280,315,2. High School,,,48
100139,Male,9,1983,12,Married,2,0,120000,1 to 3 hours a week,3 to 10 hours a week,8,,,,,,,2. High School,,,52
100284,Male,11,1984,7,Never-married,1,0,58000,None,11 to 20 hours a week,7,,,,,,,0. None,,,0
100292,Male,4,1982,,,,,,,,,,,345,345,370,300,4. Bachelors,,,
100583,Male,1,1980,13,Married,4,0,30000,Less than 1 hour a week,3 to 10 hours a week,6,,,291,283,285,240,2. High School,,,52
100833,Male,1,1981,12,Married,2,0,39000,1 to 3 hours a week,3 to 10 hours a week,5,,,246,200,307,138,2. High School,,,47
100931,Female,8,1983,15,Divorced,2,0,56000,10 hours or more a week,Less than 2 hours per week,6,,,,,,,3. Associates,2. Probably ,1. Definitely,52
101089,Male,4,1980,13,Never-married,,,36000,4 to 6 hours a week,Less than 2 hours per week,7,,,251,236,282,198,2. High School,,,52
101122,Male,2,1981,,,,,,,,,,,175,188,150,280,2. High School,,,
101132,Female,8,1984,11,Never-married,1,1,0,4 to 6 hours a week,3 to 10 hours a week,8,,,,,,,0. None,,,44
101230,Female,2,1984,11,Never-married,2,0,,None,Less than 2 hours per week,6,,,,,,,0. None,,,0
101288,Female,7,1980,20,Married,2,0,50000,10 hours or more a week,3 to 10 hours a week,7,,,363,357,343,360,5. Masters,,,52
101414,Male,6,1984,12,Never-married,2,0,20000,None,3 to 10 hours a week,4,,,298,288,300,280,2. High School,,,52
101526,Female,9,1984,18,Married,2,0,,7 to 9 hours a week,21 to 30 hours a week,5,,,337,300,293,325,5. Masters,,,45
101527,Female,3,1981,12,Never-married,3,0,22000,10 hours or more a week,3 to 10 hours a week,7,,,326,273,298,293,2. High School,,,52
101622,Female,1,1984,18,Married,2,0,17000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,5. Masters,,,45
101693,Female,1,1984,14,Married,,,25000,1 to 3 hours a week,3 to 10 hours a week,6,,,,,,,3. Associates,,,49
101705,Female,11,1981,,,,,,,,,,,,,,,1. GED,,,
101718,Male,1,1980,9,Never-married,1,2,,1 to 3 hours a week,Less than 2 hours per week,6,,,,,,,1. GED,,,0
101724,Female,2,1981,15,Divorced,3,0,0,10 hours or more a week,Less than 2 hours per week,7,,,235,233,100,293,3. Associates,,,17
101910,Male,4,1980,16,Never-married,,,,10 hours or more a week,11 to 20 hours a week,9,,,,,,,4. Bachelors,,,51
101997,Male,5,1981,8,Divorced,,,47000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,2. High School,4. Definitely not,1. Definitely,52
102061,Male,12,1980,,,,,,,,,,,,,,,0. None,,,
102110,Male,6,1982,16,Never-married,,,75000,10 hours or more a week,Less than 2 hours per week,7,,,,,,,4. Bachelors,,,52
102125,Male,12,1983,14,Married,2,0,85000,10 hours or more a week,31 to 40 hours a week,6,,,314,285,287,287,3. Associates,,,52
102228,Female,10,1983,11,Married,3,0,,4 to 6 hours a week,31 to 40 hours a week,6,,,,,,,0. None,,,0
102293,Female,3,1983,11,Married,,,15000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,1. GED,,,52
102322,Male,9,1982,8,Married,0,2,23000,None,3 to 10 hours a week,6,,,,,,,1. GED,1. Definitely,1. Definitely,51
102454,Male,4,1982,16,Married,,,,1 to 3 hours a week,3 to 10 hours a week,4,330,400,303,279,254,309,2. High School,3. Probably not,2. Probably ,0
102625,Female,3,1980,12,Married,3,0,1200,4 to 6 hours a week,3 to 10 hours a week,5,,,227,288,110,220,2. High School,,,0
102648,Male,7,1981,,,,,,,,,,,,,,,1. GED,,,
102658,Male,8,1981,,,,,,,,,,,229,173,175,240,2. High School,,,
102694,Female,9,1980,19,Married,2,0,12000,10 hours or more a week,11 to 20 hours a week,7,,,316,303,327,310,5. Masters,,,47
102812,Male,7,1982,7,Married,1,0,10000,10 hours or more a week,11 to 20 hours a week,6,,,,,,,2. High School,,,12
102877,Male,11,1983,8,Never-married,,,3000,1 to 3 hours a week,Less than 2 hours per week,8,,,,,,,1. GED,,,32
102951,Male,3,1983,10,Never-married,0,1,25000,1 to 3 hours a week,3 to 10 hours a week,6,,,137,171,233,100,0. None,,,52
103252,Female,7,1984,19,Married,1,0,,10 hours or more a week,3 to 10 hours a week,6,,,292,298,204,250,5. Masters,,,52
103418,Male,3,1984,12,Married,1,0,30000,10 hours or more a week,3 to 10 hours a week,6,500,430,215,191,213,170,2. High School,,,37
103442,Male,12,1983,,,,,,,,,,,357,300,367,333,4. Bachelors,,,
103526,Female,11,1984,12,Divorced,1,0,30000,Less than 1 hour a week,Less than 2 hours per week,8,,,208,188,194,175,2. High School,,,45
103579,Female,1,1984,18,Married,,,45000,10 hours or more a week,3 to 10 hours a week,7,,,297,304,267,285,5. Masters,,,43
103595,Female,8,1982,9,Never-married,3,0,,None,Less than 2 hours per week,8,,,136,100,,,2. High School,,,0
103768,Male,2,1980,8,Never-married,2,0,,10 hours or more a week,Less than 2 hours per week,8,,,242,280,280,280,0. None,4. Definitely not,2. Probably ,48
103845,Male,11,1983,16,Never-married,,,130000,10 hours or more a week,11 to 20 hours a week,6,480,510,314,310,290,265,4. Bachelors,,,43
103993,Male,3,1982,,,,,,,,,,,167,,,,1. GED,,,
104308,Female,3,1984,19,Married,2,0,61000,10 hours or more a week,3 to 10 hours a week,7,,,,,,,4. Bachelors,3. Probably not,2. Probably ,35
104450,Female,3,1983,14,Never-married,,,30000,10 hours or more a week,11 to 20 hours a week,7,,,325,315,268,260,2. High School,,,50
104456,Male,3,1981,8,Never-married,3,0,93000,1 to 3 hours a week,Less than 2 hours per week,6,,,,,,,0. None,,,52
104484,Female,7,1981,9,Never-married,2,1,,Less than 1 hour a week,3 to 10 hours a week,5,,,,,,,0. None,,,0
104627,Female,2,1981,,,,,,,,,,,,,,,0. None,,,
104636,Female,1,1983,,,,,,,,,,,,,,,0. None,,,
104980,Female,2,1984,15,Never-married,2,0,,Less than 1 hour a week,3 to 10 hours a week,8,,,,,,,3. Associates,,,48
105035,Female,2,1982,,,,,,,,,,,338,314,318,312,4. Bachelors,,,
105078,Male,1,1983,11,Married,,,35000,10 hours or more a week,11 to 20 hours a week,7,,,,,,,0. None,3. Probably not,2. Probably ,47
105171,Male,4,1981,,,,,,,,,,,241,300,270,190,0. None,,,
105227,Male,9,1982,17,Married,1,0,50000,4 to 6 hours a week,11 to 20 hours a week,5,,,318,295,340,326,2. High School,2. Probably ,1. Definitely,47
105364,Male,10,1984,15,Never-married,2,0,105000,1 to 3 hours a week,3 to 10 hours a week,7,,,260,150,190,200,2. High School,,,49
105549,Female,6,1980,10,Never-married,2,0,27000,1 to 3 hours a week,11 to 20 hours a week,5,,,,,,,1. GED,,,39
105846,Female,5,1983,,,,,,,,,,,,,,,0. None,,,
105865,Female,4,1980,12,Married,2,0,25000,10 hours or more a week,3 to 10 hours a week,5,,,,,,,2. High School,,,52
106095,Male,11,1983,12,Never-married,,,92000,10 hours or more a week,3 to 10 hours a week,6,,,295,295,238,268,2. High School,2. Probably ,1. Definitely,47
106124,Female,4,1983,14,Never-married,3,0,,10 hours or more a week,21 to 30 hours a week,5,,,264,244,227,262,2. High School,,,0
106142,Male,9,1984,,,,,,,,,,,243,206,238,253,2. High School,,,
106263,Female,11,1983,12,Married,2,0,30000,10 hours or more a week,3 to 10 hours a week,6,,,,,,,2. High School,,,50
106400,Female,1,1982,18,Married,3,0,54000,10 hours or more a week,3 to 10 hours a week,6,480,590,353,363,325,300,5. Masters,,,50
106434,Male,3,1984,,,,,,,,,,,,,,,2. High School,,,
106536,Male,2,1980,9,Divorced,,,80000,Less than 1 hour a week,Less than 2 hours per week,10,,,271,100,290,280,1. GED,,,50
106543,Male,4,1982,,,,,,,,,,,100,,,,1. GED,,,
106615,Female,5,1981,,,,,,,,,370,340,239,212,280,100,2. High School,,,
106621,Male,12,1981,12,Married,2,0,,1 to 3 hours a week,11 to 20 hours a week,6,,,,,,,2. High School,,,0
106634,Female,3,1982,17,Married,3,0,,1 to 3 hours a week,3 to 10 hours a week,7,,,330,376,275,366,5. Masters,4. Definitely not,2. Probably ,45
106646,Female,7,1980,,,,,,,,,670,630,381,400,350,350,7. Professional,,,
106668,Male,7,1983,14,Married,2,0,82000,10 hours or more a week,3 to 10 hours a week,7,,,343,263,331,318,3. Associates,,,48
106684,Female,3,1984,12,Never-married,,,29000,10 hours or more a week,11 to 20 hours a week,7,,,234,163,200,270,2. High School,,,52
106691,Female,1,1984,,,,,,,,,500,610,344,325,325,344,3. Associates,2. Probably ,1. Definitely,
106714,Male,6,1983,9,Divorced,1,1,47000,10 hours or more a week,11 to 20 hours a week,6,,,307,280,300,280,1. GED,1. Definitely,1. Definitely,52
106774,Male,8,1983,12,Married,2,0,90000,4 to 6 hours a week,3 to 10 hours a week,8,,,190,72,220,190,2. High School,2. Probably ,1. Definitely,52
106789,Female,10,1984,12,Never-married,1,0,,None,3 to 10 hours a week,8,,,,,,,2. High School,,,0
107125,Female,6,1984,13,Married,1,0,3000,None,3 to 10 hours a week,5,,,312,300,294,325,2. High School,,,0
107156,Male,6,1983,12,Never-married,,,10000,1 to 3 hours a week,3 to 10 hours a week,8,,,,,,,2. High School,,,52
107200,Male,1,1983,12,Never-married,1,1,20000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,0. None,,,51
107334,Male,11,1982,11,Never-married,0,0,700,10 hours or more a week,11 to 20 hours a week,2,,,,,,,1. GED,,,35
107592,Female,11,1984,17,Never-married,2,0,48000,10 hours or more a week,21 to 30 hours a week,6,,,326,240,313,318,2. High School,,,52
107770,Male,10,1983,9,Never-married,,,,1 to 3 hours a week,More than 40 hours a week,5,,,,,,,1. GED,,,
107807,Female,5,1983,12,Married,3,0,15000,4 to 6 hours a week,31 to 40 hours a week,5,,,,,,,2. High School,4. Definitely not,2. Probably ,0
107824,Female,6,1980,12,Divorced,2,0,15000,10 hours or more a week,3 to 10 hours a week,8,,,,,,,2. High School,,,13
107854,Female,11,1984,17,Never-married,2,0,28854,10 hours or more a week,3 to 10 hours a week,7,,,221,202,200,235,4. Bachelors,,,44
107994,Male,7,1980,18,Married,1,0,,10 hours or more a week,3 to 10 hours a week,8,,,,,,,4. Bachelors,2. Probably ,1. Definitely,52
108027,Female,9,1981,8,Married,4,0,20000,None,11 to 20 hours a week,7,,,,,,,0. None,,,51
108354,Male,12,1984,15,Never-married,,,75000,7 to 9 hours a week,11 to 20 hours a week,7,390,330,316,320,290,290,3. Associates,2. Probably ,2. Probably ,48
108439,Female,11,1980,,,,,,,,,,,,,,,2. High School,3. Probably not,1. Definitely,
108504,Male,10,1982,14,Married,2,3,96000,4 to 6 hours a week,3 to 10 hours a week,7,,,164,280,70,70,1. GED,,,52
108592,Female,12,1980,,,,,,,,,,,287,258,227,220,2. High School,,,
108637,Female,5,1983,,,,,,,,,,,319,294,285,293,3. Associates,,,
108734,Female,8,1981,16,Separated,1,0,58000,10 hours or more a week,Less than 2 hours per week,6,,,318,315,288,287,4. Bachelors,,,47
108772,Female,2,1982,,,,,,,,,,,317,314,295,297,2. High School,,,
108805,Male,4,1981,,,,,,,,,,,278,268,160,252,2. High School,,,
108877,Female,5,1982,14,Married,2,0,,Less than 1 hour a week,11 to 20 hours a week,7,,,301,327,300,290,3. Associates,,,0
109132,Male,12,1982,,,,,,,,,,,296,260,283,235,2. High School,,,
109187,Male,12,1982,9,Never-married,,,32000,1 to 3 hours a week,Less than 2 hours per week,6,,,217,,200,280,0. None,,,34
109234,Male,11,1983,12,Married,,,,None,3 to 10 hours a week,7,,,,,,,2. High School,,,52
109255,Male,6,1984,16,Never-married,,,36000,4 to 6 hours a week,3 to 10 hours a week,6,,,,,,,4. Bachelors,,,50
109282,Female,7,1984,,,,,,,,,450,460,326,312,252,350,4. Bachelors,2. Probably ,2. Probably ,
109306,Male,11,1981,,,,,,,,,,,271,128,208,268,2. High School,,,
109316,Female,9,1982,8,Divorced,,,,None,11 to 20 hours a week,4,,,,,,,0. None,2. Probably ,2. Probably ,35
109362,Male,3,1983,,,,,,,,,,,,,,,0. None,,,
